batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/early_stop_patience,structured/early_stop_val_loss_min_delta,structured/early_stop_val_loss_relative,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6115944602272727,1.3490147258747707,0.06859252576462248,1.1161463170905004,23286.77018599077,0.08698105067014694,0.641796875,1.2899407729506494,0.062427375465631485,1.0578825980424882,23205.76171875,0.08698105067014694
128,./data,mps,2,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6158139008012685,1.3353070742027326,0.06883994265544144,1.1049909573048353,23031.541354092686,0.08651595562696457,0.6572265625,1.2528778731822967,0.06115147396922112,1.024207267910242,22867.001953125,0.08651595562696457
128,./data,mps,3,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6241270122541622,1.312940783121369,0.06980461652644655,1.0856926625763827,22724.74139404297,0.08534177392721176,0.64296875,1.2839137226343156,0.0639102142304182,1.0581491887569427,22576.392578125,0.08534177392721176
128,./data,mps,4,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.625172624703158,1.3079351738772609,0.07085390926592729,1.0836799607019534,22425.450311834164,0.08946666121482849,0.648828125,1.24456527531147,0.06501614879816771,1.0218423470854758,22272.23046875,0.08946666121482849
128,./data,mps,5,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.633734809065407,1.2812563749876889,0.07123209203762765,1.0600546527315269,22120.101651278408,0.09705310314893723,0.6578125,1.2378586828708649,0.06515822215005755,1.0180997535586358,21975.83203125,0.09705310314893723
128,./data,mps,6,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6382057883522727,1.266105673529885,0.07175223948433995,1.0477962702174077,21830.869456898083,0.09898974746465683,0.6482421875,1.2450112462043763,0.06462478106841445,1.0281410381197928,21686.955078125,0.09898974746465683
128,./data,mps,7,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.639421559362249,1.2533014812930063,0.07244041248817336,1.0379273376681588,21537.343417080967,0.09951965510845184,0.6572265625,1.2427977189421653,0.06639830339699984,1.0288284108042718,21396.861328125,0.09951965510845184
128,./data,mps,8,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6430269491604783,1.2426151951605624,0.07238199542784556,1.030149103734981,21246.53790838068,0.10697266459465027,0.6806640625,1.1806090712547301,0.06680595129728317,0.9694030061364174,21120.5390625,0.10697266459465027
128,./data,mps,9,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6490811434659091,1.2271386552602053,0.07292428360828622,1.0170090117237784,21012.89336048473,0.1205558329820633,0.6712890625,1.192751257121563,0.0666692603379488,0.983865836262703,20888.474609375,0.1205558329820633
128,./data,mps,10,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6535940459844741,1.2093158765611323,0.0735133197158575,1.0013686753809452,20794.649586070667,0.12433761358261108,0.67265625,1.196686339378357,0.06559910196810961,0.9896115280687809,20707.4140625,0.12433761358261108
128,./data,mps,11,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6594558869573203,1.2002305256372148,0.07363920169882476,0.9939564185386355,20627.339388760654,0.13322024047374725,0.675390625,1.1656835362315179,0.06621574629098177,0.9601437620818615,20553.90625,0.13322024047374725
128,./data,mps,12,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6625581991604783,1.1824248675256968,0.07403686284934255,0.9774838039143519,20494.034612482243,0.15228165686130524,0.684765625,1.1572549417614937,0.06695745820179581,0.95286875218153,20438.548828125,0.15228165686130524
128,./data,mps,13,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6657640861177986,1.1781871481375261,0.07458988168615509,0.9741922498426654,20399.418617942116,0.17291373014450073,0.6818359375,1.1503205269575119,0.06766364183276892,0.9466981813311577,20362.166015625,0.17291373014450073
128,./data,mps,14,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.670212870971723,1.1640382844277404,0.07506571121683175,0.9606101931157437,20342.737082741478,0.18765582144260406,0.68515625,1.1417824655771256,0.0676921496167779,0.9385345593094826,20324.720703125,0.18765582144260406
128,./data,mps,15,15,1e-05,d1356f2,1e-05,0.001,3.0,0.21875,0.1,round_03,0.21875,25.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,3,0.6695988201959566,1.1604477671737021,0.07517137310721657,0.9572654994712635,20318.154552112926,0.1921771913766861,0.68671875,1.1430597737431527,0.06755925305187702,0.939936688542366,20312.240234375,0.1921771913766861
